inventory_id,product_id,quantity,last_updated,product_name,category
1,1,10,2025-03-31 11:56:08,Educational Doll,Toys & Games
2,2,10,2025-03-31 11:56:08,Ceramic Blender,Kitchen
3,3,10,2025-03-31 11:56:08,Luxury Moisturizer,Beauty & Personal Care
4,4,10,2025-03-31 11:56:08,Vintage T-shirt,Clothing
5,5,29,2025-03-31 11:56:08,Classic Board Game,Toys & Games
6,6,38,2025-03-31 11:56:08,Professional Ball,Sports & Outdoors
7,7,119,2025-03-31 11:56:08,Bestselling Biography,Books
8,8,10,2025-03-31 11:56:08,Casual Jeans,Clothing
9,9,10,2025-03-31 11:56:08,Durable Stapler,Office Supplies
10,10,115,2025-03-31 11:56:08,Portable TV,Electronics
11,11,10,2025-03-31 11:56:08,Electronic Puzzle,Toys & Games
12,12,10,2025-03-31 11:56:08,Designer Shirt,Clothing
13,13,123,2025-03-31 11:56:08,All-Weather Ball,Sports & Outdoors
14,14,10,2025-03-31 11:56:08,Modern Sofa,Furniture
15,15,10,2025-03-31 11:56:08,Vintage Jacket,Clothing
16,16,10,2025-03-31 11:56:08,Classic Puzzle,Toys & Games
17,17,10,2025-03-31 11:56:08,Executive Pen Set,Office Supplies
18,18,64,2025-03-31 11:56:08,Hardcover Biography,Books
19,19,10,2025-03-31 11:56:08,Compact Vacuum,Home Appliances
20,20,10,2025-03-31 11:56:08,Interactive Building Blocks,Toys & Games
21,21,28,2025-03-31 11:56:08,Smart Heater,Home Appliances
22,22,23,2025-03-31 11:56:08,Premium Organizer,Office Supplies
23,23,62,2025-03-31 11:56:08,Compact Cabinet,Furniture
24,24,119,2025-03-31 11:56:08,Wireless TV,Electronics
25,25,118,2025-03-31 11:56:08,All-Weather Tent,Sports & Outdoors
26,26,10,2025-03-31 11:56:08,Portable Fitness Tracker,Sports & Outdoors
27,27,29,2025-03-31 11:56:08,Professional Shampoo,Beauty & Personal Care
28,28,10,2025-03-31 11:56:08,Recycled Pen Set,Office Supplies
29,29,10,2025-03-31 11:56:08,Casual Shirt,Clothing
30,30,10,2025-03-31 11:56:08,Illustrated Self-Help Book,Books
31,31,104,2025-03-31 11:56:08,Formal Jeans,Clothing
32,32,10,2025-03-31 11:56:08,Ceramic Mixer,Kitchen
33,33,52,2025-03-31 11:56:08,Durable Backpack,Sports & Outdoors
34,34,73,2025-03-31 11:56:08,Natural Moisturizer,Beauty & Personal Care
35,35,92,2025-03-31 11:56:08,Hypoallergenic Hair Dryer,Beauty & Personal Care
36,36,21,2025-03-31 11:56:08,Energy-efficient Fan,Home Appliances
37,37,10,2025-03-31 11:56:08,Classic Board Game,Toys & Games
38,38,20,2025-03-31 11:56:08,Organic Moisturizer,Beauty & Personal Care
39,39,10,2025-03-31 11:56:08,Ergonomic Cabinet,Furniture
40,40,10,2025-03-31 11:56:08,Ergonomic Cabinet,Furniture
41,41,64,2025-03-31 11:56:08,Lightweight Tent,Sports & Outdoors
42,42,92,2025-03-31 11:56:08,Vintage Shirt,Clothing
43,43,10,2025-03-31 11:56:08,Electric Toaster,Kitchen
44,44,113,2025-03-31 11:56:08,Wooden Cabinet,Furniture
45,45,10,2025-03-31 11:56:08,Electric Cookware Set,Kitchen
46,46,10,2025-03-31 11:56:08,Natural Hair Dryer,Beauty & Personal Care
47,47,102,2025-03-31 11:56:08,Limited Edition Self-Help Book,Books
48,48,29,2025-03-31 11:56:08,Portable Bicycle,Sports & Outdoors
49,49,10,2025-03-31 11:56:08,Creative Board Game,Toys & Games
50,50,10,2025-03-31 11:56:08,Wireless Smartwatch,Electronics
